skill,check_line,backward_text
Arcana,,Know about the Planes
Arcana,,Know about Elementals & Outsiders
Arcana,,Identify Magic Effect
Arcana,,"Recall lore about spells, magic items, eldritch symbols, magical traditions, the planes of existence, and the inhabitants of those planes."
Athletics,,Shoving creatures
Athletics,,Grappling creatures
Athletics,,"Going through rough terrain, such as stairs, without losing movement"
Athletics,,Jumping a certain height/distance
Athletics,,Swimming in rough currents/in heavy armor
Athletics,,Acting in mid-air
Athletics,,Climb Wall or Cliff
Athletics,,Create Handholds
Athletics,,Climb Tree
Athletics,,Rapelling
Athletics,,Hop Up
Athletics,,Jump Down
Athletics,,Long Jump
Athletics,,High Jump
Athletics,,Swimming High Jump
Athletics,,Swim
Athletics,,Dive
Athletics,,Grapple
Athletics,,Disarming
Athletics,,Trip
Athletics,,"You attempt to climb a sheer or slippery cliff, avoid hazards while scaling a wall, or cling to a surface while something is trying to knock you off."
Athletics,,You try to jump an unusually long distance or pull off a stunt midjump.
Athletics,,"You struggle to swim or stay afloat in treacherous currents, storm-­‐‑tossed waves, or areas of thick seaweed. Or another creature tries to push or pull you underwater or otherwise interfere with your swimming."
