ACROBATICS,ANIMAL HANDLING,STEALTH,SURVIVAL,RELIGION,SLEIGHT OF HAND,PERFORMANCE,PERSUASION,NATURE,PERCEPTION,INVESTIGATION,MEDICINE,INSIGHT,INTIMIDATION,DECEPTION,HISTORY,ARCANA,ATHLETICS,STRENGHT,INTELIGENCE,WISDOM,CHARISMA
Moving Shipboard,Soft Fall,,Determine Time until Spoilage,,,,"Foster friendships, make cordial requests, or exhibit proper etiquette. Examples of persuading others include convincing a chamberlain to let your party see the king, negotiating peace between warring tribes, or inspiring a crowd of townsfolk.",,,,Treat Poison,Penetrate Disguise,,Delivering a Secret Message,"Recall lore about historical events, legendary people, ancient kingdoms, past disputes, recent wars, and lost civilizations.",Know about the Planes,Hop Up,,,,
Escape from Restraint,Spur Mount,,Surviving in the Wild,,,,,,,,Determine Cause of Death,"Determine the true intentions of a creature, such as when searching out a lie or predicting someone's next move. Doing so involves gleaning clues from body language, speech habits, and changes in mannerisms.",,Heckle,,Know about Elementals & Outsiders,Jump Down,,,,
Reduce Damage from a Fall,Control Mount in Battle,,Making Camp,,,,,,,,Estabilize a dying companion or diagnose an illness.,,,"Hide the truth, either verbally or through your actions. This deception can encompass everything from misleading others through ambiguity to telling outright lies. Typical situations include trying to fast-talk a guard, con a merchant, earn money through gambling, pass yourself off in a disguise, dull someone's suspicions with false assurances, or maintain a straight face while telling a blatant lie.",,Identify Magic Effect,Long Jump,,,,
,Leap,,Trailblazing,,,,,,,,,,,,,"Recall lore about spells, magic items, eldritch symbols, magical traditions, the planes of existence, and the inhabitants of those planes.",High Jump,,,,
,Fast Mount or Dismount,,Locate North,,,,,,,,,,,,,,Swimming High Jump,,,,
,Calm an Animal,,Creating a Trail Sign,,,,,,,,,,,,,,Swim,,,,
,Swim a Mount,,Finding a Trail Sign,,,,,,,,,,,,,,Dive,,,,
,"Can calm down a domesticated animal, keep a mount from getting spooked, or intuit an animal's intentions, the GM might call for a Wisdom (Animal Handling) check. You also make a Wisdom (Animal Handling) check to control your mount when you attempt a risky maneuver.",,Reading a Trail Sign,,,,,,,,,,,,,,Grapple,,,,
,,,Finding Parts for a Booby Trap,,,,,,,,,,,,,,Disarming,,,,
,,,Harvest Poisonmaking Materials,,,,,,,,,,,,,,Trip,,,,
,,,"Follow tracks, hunt wild game, guide your group through frozen wastelands, identify signs that owlbears live nearby, predict the weather, or avoid quicksand and other natural hazards.",,,,,,,,,,,,,,"You attempt to climb a sheer or slippery cliff, avoid hazards while scaling a wall, or cling to a surface while something is trying to knock you off.",,,,
,,,,,,,,,,,,,,,,,You try to jump an unusually long distance or pull off a stunt midjump.,,,,
,,,,,,,,,,,,,,,,,"You struggle to swim or stay afloat in treacherous currents, storm-­‐‑tossed waves, or areas of thick seaweed. Or another creature tries to push or pull you underwater or otherwise interfere with your swimming.",,,,
