skill;check_line;backward_text
Investigation;MATT: You can make an investigation check to try;That brings us to Jester's turn, as you come to consciousness, since you guys are on the same initiative. You can do something, if you like. Pot! Pot! I guess I'll walk over and try to take out the pot. That's half your movement to get up, and then five, ten, 15, that's as far as you get. Can I try to throw something at it? What do you have to throw? Yeah, I don't think I have anything that will fit through that little hole-- I could try picking up a rock on the ground and throwing it at it.
Religion;a religion check with advantage, because you have undead.;Grab his heart and run. From the ground. There was no heart on the ground As you struck it, the energy dispersed. Let's run away. What if we have to get it with the sword? It's a two-handed weapon. I can't do it. Yasha can, though. Why? You're strong! You can do it. I can't use two-handed weapons. As you guys watch it push out of the wall, (gasping sound) making its way there. Wait! Maybe if we show it the sword, he'll chill out. Caleb, make an intelligence check. You make
Athletics;and make an athletics check to force it.;Right, okay. That finishes its turn. Beau, you're up. You watch Yasha slam on the ground, unconscious next to you, the blade clattering to the ground and coming to rest. The creature lifts up (wheezing) and vanishes into the stone above you. I can't get a reaction from it, as it goes? It was not close enough to you, unfortunately. Fuck. I'm going to run over to this bookcase and put my staff behind it to see if I can knock it over. You get the staff on the fulcrum. Go ahead
Athletics;MATT: Make an athletics check.;Roll for that. 2d4 plus your Wisdom modifier. Six plus four. Ten! You heal ten hit points. Yasha, you come to consciousness on the ground. Your weapon is about two feet from your grasp. The first thing you do, your eyes shoot open and then shoot to your weapon. Natural instinct to defend yourself. It's easily within your grasp. You just have to get up to grab it. Can I get all the way over to the bookcase? (counting) 30. You get right to the bookcase. I try to yank it over.
Investigation;MATT: Go ahead and make an investigation check.;You got ashed and feathered? Tarred and-- What do you call it? Oiled and ashed! It's cool guys. It's fun. Suddenly I'm scared of falling on the beach. I send in two globules after her to see the antiqued goblin. It's a small chamber. It's five foot by five foot. Anyone else is going to be pretty down in there, but you fit in fairly comfortably. There's the shattered urn and a few small pieces of pottery with intricate gold scrolling. They're probably very nice pieces of art or decor. I'm going to check for traps.
Arcana;MATT: Make an arcana check.;Sure, as soon as the hole gets bigger. I'll open the other box with my Mage-y Hand-y! Okay. That box opens up, and there's another splash of that same poisonous powder, but you're off to the side. It only gets anyone who's immediately in front of the box. I did it, guys! I feel like Nott's head comes out of the hole, going (rapid gasping) for fresh air. What's in that box? That box contains a folded raiment of some kind, like a ceremonial mantle made of dark black and gray cloth with red embroidered designs on it. Do I recognize any symbols or anything?
Arcana;MATT: I mean, you can make an arcana check to see;What about that cloak? I put them in the bag. How about that? Okay. You have the folded mantle. What does the mantle look like? The mantle is a dark black, a front chest mantle area, with gray stripes coming along the sides and this red embroidered design that emerges from around the neck, all across the front and back of the mantle. Does it look familiar? No. I was hoping. Can I come up and see if it has any magic feel to it?
Investigation;MATT: Make an investigation check.;on the shelf that we knocked over. The shelf is mostly empty. There was that one book on the desk. We could sit down on the floor together and have a look. What else did you get out of there? You have the urns in the cages. You have the tables over there. You have the two braziers filled with ash on the sides. You have the broken cages back there. Everything that you see there is what's in the chamber. I'm going to do a tour of the urns and see if there's anything, jewelry or something, hidden in there.
Arcana;strange script and scrolling. Make an arcana check.;grasp. You go past the brazier on that side with the ashes, and you poke around with your staff, and something catches your staff underneath the ash. You prod in there, and as you push it aside, there's an object in the ash that is partially burned. As you pull it free and dust it off, it's another book. A large portion of the back of it is burned off, and most of the pages are destroyed on the back end, but a good half of the book is mostly still intact. Like when it got thrown in there to be destroyed, the flame wasn't quite strong enough to consume the entire book. Can I do a little flip through of it? Yeah. As you go through, it's filled with
Perception;MATT: Sure. Make a perception check.;hand. I walk over to Caleb. Hey Caleb. Found this. Oh. Would you like to add it to the pile? Sure. I think it's got stuff for you in it. I'm not really into smut. That's a bit of a ruse. That's unfortunate, actually. I mean, more than normal. Sure. Within reason. Can I walk to the entrance to the tunnel, just to keep an eye out, while he does his thing?
Medicine;MATT: Go ahead and make a medicine check.;It's a bunch of gold and jewels. Hey, you know, this is going to take a while, so why don't we put it all down, and I will get to work, okay? I'm poisoned. (laughter) How much you care to drink is on you. I've got an herbalism kit. There's like a purple froth at the corner of her mouth. It's spitting out-- She's antiqued too. She's covered in ash. Covered in oil and ash. Can I use my herbalism kit to get rid of the poison?
Religion;MATT: That would be a religion check.;foot-by-foot space. The urn was a big old thing. Clarification: When Caleb did Detect Magic, did the circle in the center of the room glow at all? Or is it-- It's dead. Nope. You see it's been scarred intentionally from the inside. Possibly, whatever flurry of intent that Siff had to burn the book, destroy everything, burn everything from the inside also, was to destroy the circle and allow nothing else to come through. You get the sense that the final moments in this chamber were probably very paranoid. What do we remember about the Crawling King? Do you know anything?
Religion;LIAM: I will make a religion check.;Clarification: When Caleb did Detect Magic, did the circle in the center of the room glow at all? Or is it-- It's dead. Nope. You see it's been scarred intentionally from the inside. Possibly, whatever flurry of intent that Siff had to burn the book, destroy everything, burn everything from the inside also, was to destroy the circle and allow nothing else to come through. You get the sense that the final moments in this chamber were probably very paranoid. What do we remember about the Crawling King? Do you know anything? That would be a religion check.
Insight;LIAM: I would like to do an insight check on Fjord;The awe-inspiring one with the face is from a dream you had? Was it the salt-water dream? No. I don't think so. Could be. You need to work on vivid dreams. You can control yourself-- Lucid dreaming, yeah. How do you do that? I don't know. I think it's crystals or something? You can keep a dream journal. That's a good way to do it. When you wake up, you just write. Write it down immediately what you remember. It really helps.
Survival;MATT: Make a survival check, Nott.;You could. It would be tiring. We're already out this far. Might as well see where it goes for a little bit. It could be scary. There could be more rock monsters and things. There are literally going to be rock monsters if we go back the other way. Yeah, if we are doing that, then I suggest camping in this chamber before going forward, because we are all bloodied and battered, you know. Sure. We could do that. It has been a really long day so far. What time is it?
Investigation;MATT: You can make an investigation check as;You'd have to climb to get to the top, and you have no idea how to get a boat up there. You get the sense that if you had gone the other way down here, you would've suddenly had a waterfall drop. Is there land off to the sides of the bottom of the waterfall? Very thin, a half a foot to a foot, but there are a lot of stones and rocks that have tumbled through the river over time and set at the bottom that would've destroyed a boat that had fallen off the edge of that waterfall. Good to know. Does it seem like there are any boats that are broken at the bottom of it?
Perception;MATT: This would be more of a perception check;here, you would've suddenly had a waterfall drop. Is there land off to the sides of the bottom of the waterfall? Very thin, a half a foot to a foot, but there are a lot of stones and rocks that have tumbled through the river over time and set at the bottom that would've destroyed a boat that had fallen off the edge of that waterfall. Good to know. Does it seem like there are any boats that are broken at the bottom of it? You can make an investigation check as you're rowing up to the edge, glancing over the side. Is there anywhere to stop the boat?
Insight;LIAM: Insight check.;On one end, it hits rock. Does not. (gasping) There's a little space behind the water. Should we go? There's always shit behind waterfalls. I think we should. Do you think it's going to bludgeon us? I'm already taking off my jacket. I'm taking off everything that I don't want to get wet, keeping just one sword, and I'm going to go for it. Nipple rings in or out? Weirdly, there are no nipple rings. Those things are dangerous. They catch on shit.
Investigation;MATT: Make an investigation check.;He's folding beer cans into little shapes. What's an alhoon to do? Anyway, you guys come out of the water and quickly glance, as your hair's drenched on the sides of your face-- except for you. It's short enough hair. On the inside, it's fairly empty, except for a skeleton. A humanoid skeleton against a back wall that is laying there. It has manacles or chains attached to its wrists, neck, and feet, and they're all connected by a singular chain in the center, and it's resting there, and it's probably been here for a while. That's bad luck. We seem to keep finding these. I am going to examine this thing.
Investigation;MATT: Make an investigation check.;going to examine this thing. Make an investigation check. Seven. I mean, the body's pretty rotted. It looks like whatever clothing they're wearing is very basic material that is-- It would be more disintegrated if there wasn't so much moisture in the area, and it looks like bits of it have been eaten away with fungus and mold over time. The manacles are very well made, and looking at the edges where they connect, there's a small rune at that point. No scratches in the walls or any pouches or compartments on the floor around this little space?
Investigation;MATT: Make an investigation check when you came;There. 12. Looking at the features of the skull, they're a little bit more delicate than an average human's skull. You get the sense they may be of partial elven blood. Not full elf, but partial elf. Never go full elf. Very true. Well, on your way, Yorick. I set it adrift. Yep, put the manacles over and I'll jump back in. I'm going to also keep my eyes open. I'm going to try to get a little bit down into this to see if there's any bits and pieces underwater. Yeah, that's what I was going to say.
Insight;LIAM: Insight check.;work at one point. Did you do that? On purpose? Yeah. I did. Why? Couldn't afford a root canal? That would have been a better excuse. When I was younger, they used to make fun of my teeth. Who? Kids can be cruel so I decided to take away the target that was most easily available for them. Did you grow up with people who did not have tusks like you? So you were different? Yeah, at the time there weren't any others like me. I feel like I was especially picked on for my teeth.
Insight;MARISHA: My childhood damage-- Insight check!;Couldn't afford a root canal? That would have been a better excuse. When I was younger, they used to make fun of my teeth. Who? Kids can be cruel so I decided to take away the target that was most easily available for them. Did you grow up with people who did not have tusks like you? So you were different? Yeah, at the time there weren't any others like me. I feel like I was especially picked on for my teeth. Insight check. (laughter) Jesus.
Insight;check. It's not "I'm going to use an Insight Check;Kids can be cruel so I decided to take away the target that was most easily available for them. Did you grow up with people who did not have tusks like you? So you were different? Yeah, at the time there weren't any others like me. I feel like I was especially picked on for my teeth. Insight check. (laughter) Jesus. My childhood damage-- Insight check! Just a ten, not great. As a note, generally you can say "do I believe him?" and I'll tell you to make an insight
Insight;SAM: But insight check is so much dickisher.;Did you grow up with people who did not have tusks like you? So you were different? Yeah, at the time there weren't any others like me. I feel like I was especially picked on for my teeth. Insight check. (laughter) Jesus. My childhood damage-- Insight check! Just a ten, not great. As a note, generally you can say "do I believe him?" and I'll tell you to make an insight check. It's not "I'm going to use an Insight Check action!"
Insight;MATT: You can make an insight check.;I'm sure I don't have to. It's like people who chew their nails, I guess. They will always grow back, even if you--? They are persistent. How quickly do they come back? Not super fast. Is that why you have blood on your mouth? Were you filing your teeth last night? No. I think I bit my lip. I hate it when that happens. Yeah, right, and then you bite it again the next day. Do I believe him?
Stealth;rest of you to make stealth checks. She's not on;forward, Yasha pushes on, manages to gain ground. Jester, while doing fine yesterday, trying to do the advanced pushes, you're still making it up the stream, but you're still a little sore from the night before. She did rowing yesterday. Yeah. However, you're not making any loud noises at the moment. As you glance up, none of the darkmantles-- you look up and you can see now there are a few that are adhered to the ceiling, but they don't seem to have noticed your presence yet. As you're rowing through, you're falling behind. You manage to get through unnoticed and actually way above the one boat. I need all the
Perception;MATT: Make a perception check for Frumpkin.;making your way down and as you made your way to this portion of the cavern, you walk back, being lead by Kara through the Underworks. Do I see anything of note through Frumpkin's eyes as we walk? Same path as you went last time, not as busy. Nobody else is walking through the halls. It's early enough where there isn't much. You do come past that chamber before where you saw the cages in there and there's two more cages set inside, even larger. One of them is a heavy meshed series of metal. You don't hear anything in there. Can I tell what's inside there?
Deception;MATT: Make a deception check.;"Right." Was there a gelatinous cube at one point? There was, actually, yes. Yeah, this big cube came down from the ceiling and it tried to eat us. "That's terrifying." Indeed. It's pretty scary. Good thing you sent the pros. Amateurs probably would have had a worse time. Found lots of skeletons along the way. Yeah. And exactly six rings for you.
Deception;MATT: Make a deception check.;Careful, they're very old. "Of course. I'm a collector myself. It's fine. This is beautiful make. This is pre-Divergence as well. (chuckles)." I bet they're worth a whole of money then, huh? "Oh, most certainly! To the right people, they can be worth quite a bit." We found some candlesticks too. Also some candlesticks. "All right." You produce the candelabra. "These six rings, you say." It was seven. I give one of the extra rings.
Deception;MATT: Make a deception check.;Give him the book. (sigh) Caleb, we talked about this. Yeah, and we said that we'd give him the book, so I'm a little confused. No! All right, man. Been in the business longer than we have. I toss him the research notebook. He catches it. Here's the precious research you were looking for. "All right. Thank you." You're welcome. "Is that all of it?" Yes.
Insight;MATT: Make an insight check.;826LA. (laughter) I'm sorry kids. It's really a shame. We didn't think this through. At that point, he sits back comfortably. "Very well. Thank you so much. I'm impressed. I am happy. Keep the rings. I said you can take something back with you, and you've done your job. You've proven yourselves very trustworthy. Please, at your leisure. Take solace in knowing that your friend, Horris, is safely on his way to Berleben." Seemingly? "Safely." Do I believe him?
Intimidation;MATT: Make an intimidation check. Sure.;I'm going to look at it, and then I'm going to give it back to you. Does it say any more? On this, it has the Xhorhasian note, and it has the Harvest Close coming the third of Fessuran. Those are the two notes of the day. You literally just-- that's all that's on there. "That's my job." Hey! "Ah!" Where do we sign up for the Victory Pit? "I don't know." Tell me. You know! You want to tell her.
Deception;MATT: Make a deception check.;places to go for medical purposes. Can I use my Mask of Many Faces, and I'll adopt an older face with a gray beard and a dark hood, and can I walk into the physician's office? Yeah, easily enough. You walk into the main area, and one of the clerks there with the same white robes approaches. "Can I help you, sir?" (as Sean Connery) Yes, hello. (laughter) Commit to it! (as Sean Connery) Is Ren Sutan there? (laughter) "What do you require of the Doctor?" (as Sean Connery) Just get him.
Perception;MATT: Make a perception check.;His eyes go wide. "We have no business--" Fetch him. Now. What happened to Sean Connery? I fucking lost it. (as Sean Connery) Fetch him now. I'm a Russian sub commander. "Very well. I'll go fetch him." He walks past you out of the-- (as Sean Connery) Do your best. Losers always whine about their best. He walks around you and exits the front of the facility and begins walking down the road, out of sight. I'll turn and follow him.
Medicine;MATT: It's a fungus. Make a medicine check.;have? I have no idea. Skein. No, we bought those magic mushrooms. No, it's a fungal powder. Hey Caleb, you want to take a look at the pouch? Skein, I've heard many arguments over the pronunciation. It's a real thing? You didn't make it up? No, the word is a real thing. It's a weaving term. If I take a look at this skein, can I take a guess at what kind of illicit material I'm looking at?
Medicine;LAURA: I can do a medicine check. Do you want me;Skein. No, we bought those magic mushrooms. No, it's a fungal powder. Hey Caleb, you want to take a look at the pouch? Skein, I've heard many arguments over the pronunciation. It's a real thing? You didn't make it up? No, the word is a real thing. It's a weaving term. If I take a look at this skein, can I take a guess at what kind of illicit material I'm looking at? It's a fungus. Make a medicine check. Yeah, I have bad experience with fungus.
Investigation;MATT: Make an investigation check.;would be real funny to plant it on somebody and get them busted later. Was it a powder, or was it like crumbles? It's like a crumbled, dry, almost a spongy-- You guys looked like idiots, just so you know. Shall we get you cleaned up? We need to get Nott cleaned up, too. Nott cleaned up? Yeah Nott's covered in ash. Oh yeah, everybody, let's take a bath. Can I have tried to find any information on the conflict on the Xhorhas border?
Persuasion;afraid." Make a persuasion check, if you want.;I sharpen it. It's so sharp. I sharpen it every night. "That's wonderful. I think in the long run, that'll be a very useful feature, but it's also not that uncommon of an object-- " It's touched by the moon. "Yeah. I'm touched by the sun every morning." (laughter) "I'll happily give you 30 gold pieces for that there sword, if you don't mind?" I paid all of my money for this, and it was so much more than that. "Well, that's the nature of business. I'm
Persuasion;Your persuasion pity roll.;every night. "That's wonderful. I think in the long run, that'll be a very useful feature, but it's also not that uncommon of an object-- " It's touched by the moon. "Yeah. I'm touched by the sun every morning." (laughter) "I'll happily give you 30 gold pieces for that there sword, if you don't mind?" I paid all of my money for this, and it was so much more than that. "Well, that's the nature of business. I'm afraid." Make a persuasion check, if you want.
Insight;MATT: Make an insight check for me.;much this separation and attention that you're the newcomers, and a strange, new shiny thing in their captain's eye. This is the first time you've seen them a little bit three sheets to the wind as a group, and they're talking openly. Avantika has a definite zealotry to her, but you start noticing members of the crew and why they are with her or, at least, now that they've been there, they've also bought into these tales of Uk'otoa. You get the sense that they believe that this path that she's following will lead to her success and, by default, probably their success. How many of them are true believers? Give or take?
Deception;MATT: Make a deception check.;was--? "Sorris. Sorris Kay. What's your name?" Oh, I'm Fjord. Nice to meet you. "Fjord? All right." Are you a captain, or do you do something else that's more specialized? "Me? No, I'm a sniper." A sniper? What do you snipe with? "Things. Why are you so curious?" You're an interesting fellow. "Speak for yourself, sir. What's your name?" My name is Phillip.
Athletics;MATT: Okay, that's your athletics check,;16. Oh, he beats you at a 17. 15 plus two. For a small size, he is quick and he jukes to one side, turns around, and goes for a haymaker to the side of your face! That's cocked. That's a 14 to hit. Oh, I turn and he hits my shield. Ping! "Ah!" I swipe at him with my tail and try to trip him. Go for it. Make another attack roll. 19! Are you just doing damage or are you trying to shove him and knock him prone? Just knock him prone.
Persuasion;MATT: Make a persuasion check.;real damage to each other. I'm going to pat his head and cast Cure Wounds. Aww. We're awwing. He's on the edge, finish him! I don't want to knock him out, he's cute. 1st-level. You have mashed his hair spikes down. That is six points of healing. That's two punches taken away. One and a half. We're friends now. He goes, "Huh. Thank you?" You're welcome.
History;MATT: Make a history check. You can with;back down at the table. Do divers die there? At this point, Sorris goes, "Oh, is that where you're going? You're going over to the "Diver's Grave?" It would appear so, yeah. "Well, that's certainly an off-limits location for most salvaging, thanks to the cursed "woman, eh? Do you know much about your history?" I'm hoping this is a place where somebody named Rachel Diver may have bought a piece of land or something. "Close, but not at all." Yeah, or Sophie. It's always a Sophie.
History;MATT: You can make a history check as well.;"Diver's Grave?" It would appear so, yeah. "Well, that's certainly an off-limits location for most salvaging, thanks to the cursed "woman, eh? Do you know much about your history?" I'm hoping this is a place where somebody named Rachel Diver may have bought a piece of land or something. "Close, but not at all." Yeah, or Sophie. It's always a Sophie. Make a history check. You can with disadvantage, because of your lack of experience with the naval history. Would I have heard ghost stories?
Perception;MATT: Make a perception check.;tipsy, and I'm going to find myself an evening's "rest. The rest of the night and tomorrow is yours. Good eve." Bon soir. Good night. Bye. As she gets up, some of the rest of the crew stands up, you see Bouldergut in the back stand up as soon as the captain stands up, and goes like, "We going?" "Come on, this way." Walks by, puts her hand on your shoulder, and into your ear, Fjord, as she whispers, she goes, "I'm staying "upstairs, second room on the left," and leaves. Did any of us see that?
Perception;perception, has seen this. What did you roll?;"upstairs, second room on the left," and leaves. Did any of us see that? Make a perception check. (laughter) Oh, that's a bad roll. You see everything, why are you even rolling? 11. It feels pretty public. 15. You've got fucking Mad-Eye Moody's eye where it's on me the whole time and the other one's doing its own thing. Actually, Caduceus, just from his passive
Perception;MATT: Make a perception check.;I'm trying to get an image of her in my brain here. Yeah? Did she have like a really good nose or something? The best. Really? For me. You're mysterious, Caleb, you know that? That was a long time ago, anyway. Let's just focus on getting out of this place away from that woman. And now she's saying we all have to take the same boat. How are we going to get away from her? Is there anyone paying attention to us?
History;MATT: Make a history check.;materials for sale are left behind. It's mainly just a structure and materials are probably brought there in the morning and are placed out for trade, sell, or whatever. Don't you think it's weird that someone would be a pirate and they would come here because they were a pirate and then they change their mind and decide to be a shopkeeper here instead? No. Maybe they were looking for a new environment and they found exactly what they were looking for. Maybe they thought they were tough and strong, and they were not as tough and strong as they thought, so now they sell rope.
Perception;MATT: Make a perception check.;Okay. Yasha is doing what as part of this? I think Yasha is probably either with you-- She's either with you or with us, I imagine. Probably with you. She's a bit conspicuous. If things go really bad, she'll be ready to help out on that side of things. If Bouldergut is in the Bloated Cup, that's where Yasha is. There you go. I turn my cloak inside-out to the inconspicuous side, and case towards the docks, and start casing the area for Revelry that are guarding the area, or potentially, a good place for them to do the thing.
Perception;MATT: Make a perception check.;okay. We're ready. Let's do this. While you guys begin to set your ways, Fjord. You make your way to the Bloated Cup. Where do you head? (singing) Thunderstruck! I'll head up the stairs to the second room on the right, was it? (whispering) Left. Second room on the left. Do you want to knock? Anyone in the hallways? At the moment, no. No sign of Bouldergut?
Perception;MATT: Make another perception check.;on the right, was it? (whispering) Left. Second room on the left. Do you want to knock? Anyone in the hallways? At the moment, no. No sign of Bouldergut? Make a perception check. 11. No, no sign of Bouldergut. She's an ogre. I know. Okay. Yeah, second door on the right, and I'll put my ear against the door.
Perception;MATT: Make a perception check.;ears? (heartbeat) (knocking) There's a slight pause and you hear some rustling and some shuffling. A voice goes, "Who is it?" Oh, sorry. Is-- (clears throat) is the captain in? "Who the fuck is this?" Fjord. Who's this? "Piss off, I'm sleeping." Second door on the-- Is there a door across the hall? There is. I'll put my ear on that one.
Stealth;make a stealth check as you go about your activities.;You can, but there's a lack of color. It's mostly some shades of black and white and gray. We should probably figure out a way to light up the room. Are there curtains? There are two sets of small curtains that are currently tied off on the sides of the windows that can open onto the balcony. Do you want to burn them for light? No, we should close them. Oh, okay. That's better. I sneak over and close the windows quietly. Just close the windows. As a general note, I would like you both to
Perception;MATT: Perception check for Frumpkin. I'll say at;I take my cloak off and I put it next to the doorway to block the light. I'll take my cloak and hang it over the curtains so it's double-blocked. Okay, like duvet over the window. I light the candle. I signal to Caleb that they've made it on the ship. I was going to say, once I'm out and about, about once every 30 seconds I will lean on something, pretending like I'm slightly drunk, and I will go into Frumpkin's vision from above, just for five seconds, to look at the activity on the boat and where those guards are, and then go out of it.
Investigation;investigation check, or do you want to help one or;Technically, yes. Now that you have the candlelight there, gently there, quietly. We start searching through her office. What are you looking for? We're looking for anything she's written about where the last fruit tree is, the last temple. You're going through papers, yeah? I'm going through papers. I'm going to go around the walls and look for hidden safes. I'm looking through her desk, seeing if I can find any false bottoms or anything like that to try to find secret information. Okay. Do you want to each make an
