skill,backward_text,check_line,original_name
Stealth,"trying to wait this thing out-- Yeah, I think hiding is a wonderful choice; this is the choice to make. Is there a Hide Under Pressure? [laughing] Hide Under Bed?", The roll that you did continues to play here; I’m not going to make you roll to hide again. ,Hide
Athletics,"Yeah, I love it. Mark Luck, and you have spent one Luck. Hey, and I wanna do a cool line. Yeah, yeah, do a cool line. Aubrey Fuego, ya bastard!"," The monster lands on the floor with this walking stick in its throat, just kind of barely emerging from its mouth, and Aubrey, you’re laying on the floor right in front of it, and you just sit up and you grab the walking stick with your hand and we see it glow, and as it glows a bright orange, I think the chamber goes silent as we watch the inside of this monster glow; softly at first, and then brighter and bright orange, and then, in a spray of black mist, the beast explodes. And as it explodes, I think all three of you are flung backwards, away from the beast as this wave of force shoots out at you, and Aubrey, because you were right up against the wall, I think you smash up against the wall again, and you bang your head again, and as you land on the floor, you roll a couple feet as you bounce off of it. The scene around you just kind of starts coming to you in flashes. You see Duck and struggle to climb to a kneeling position, you see the smoke that was filling this chamber is spreading much faster now, this fire has grown wild, and the smoke is filling your lungs, and now you’re kind of unable to catch your breath, and in another flash, you look toward the mouth of the cave, and you see that wall of fire still roaring high, and as your vision finally fades, you see a figure appear in the fire. You see a large woman wrapped in her duster leaping through the flames in your direction, and then you lose consciousness. {Ad break 53",Climb
Athletics,"Just another one of the many services we offer from the Forestry Service. Swimmer Is clothes— Oh! Okay, I’m going, I’m going, I’m going! Duck Go! Go! Go! Go! Go!"," I think because of — I know this seems a bit silly, but all of you have rolled very well here — I think they all sort of start climbing out of the pool and, in this single file line, they hurry out the door as Duck is picking up their clothes off the bleachers and just throwing them out the open doors. And soon, uh, all of them— ",Climb
Medicine,"rites of Omec, and you and your companions, that’s you guys, can expect to receive free healing and care at a temple, shrine, or other established presence of Omec’s faith."," I like the way they phrase that, like, “you can expect to get” like you roll in like [explosion noise] “HEAL ME” ",Heal
History,"impotent rage. No, he wants, uh - And a two minute song. He was thinking more along the lines of slaying, protecting, guidance - Ah. Got it. Adventuring, essentially. Excellent."," Um. So, he has asked the three of you to escort a supply wagon from the - the town of Neverwinter, where the three of you are currently held up, to the town of Phandalin, which none of you have actually been to, but maybe you know a thing or two about it, if you want you can make a history check, to see if you know anything about it. And since this is your first check, I guess I'll explain how that works. Um. If you look on your sheet you'll see a history stat there, in the skills, um, so you roll yourself a d20 - ",History
Intimidation,"offered you a - 10 gold pieces apiece. and Each? Each, yes. Nice. Which, um, I mean, I'm not your boss, but that's not a lot of money. But hey-"," Is he open to negotiation? Can I roll for intimidation to see, or? ",Intimidation
Perception,"on the coast. You've taken the off-ramp, uh, that will lead you to Phandalin, and things definitely are not as well maintained. Lot of potholes. Don't worry, I got this."," Not a lot of great infrastructure. Um. So as you're travelling, uh, a few... say about 30, 40 miles out from Phandalin? Um. I want you all to make a perception check, uh, which you can see the modifier there. I will explain what this is, for people who are listening- basically all the skills... uh... have a defining action next to it? ",Perception
Perception,"Merle? [dice rolling] Pshew. Wow. Uh... 6. And what'd you get, ? I got a crit 20, so that’s 23? 23. Okay. You see the shit out of everything. Mhm."," Um. , you see about 200 feet up - um, lying in the road two figures that with your incredible perception check, you can actually tell, uh, with your eagle eyes, that they are two dead horses. Lying in the middle of the road. ",Perception
Perception,"to a stop, about two-hundred feet out- And I motion silently, to get the attention of Merle and Taako, and kinda pull them up towards the front of the wagon."," Okay. You have a few moments there where you, uh, warn them that shit has gone south. Uh. I'll use that same perception check, you notice a few figures, um, crouching, in a... a part of the shaded wood, sort of off to the side of the road. ",Perception
Perception,"is where, who's fighting whom... so yeah, you can take a movement, up to your speed, you can- Do I have to take a movement? You do not, no. Okay."," You can also take an action. Those actions might include attacking with one of the weapons you have, casting one of your spells, be it a cantrip or a first level spell, maybe you want to drop a Sacred Flame on one of these guys? Um. You have a lot of other actions you can do, other than just fighting. Uhh. You can try and grapple an enemy, you can aid one of your teammates, you can, um, try and do another perception check to search the area for other dangers? You can... You can basically do anything- ",Perception
Insight,"using an object, like, maneuvering a complicated, like, device? That will take an action. It’s kinda up to my discretion what does and doesn’t take up an action. Okay, I-"," So if you want to, if- if you wanna, um- you could also make an insight check for free, to see if these guys mean business or not? Um, or you can talk to them- they probably won’t know...the language you’re speaking? ",Insight
Perception,"forty feet out. Okay, now, question. Yeah. Do I see the one in the brush? … Um… You actually do not? is the one who spotted him. Oh okay. Um-"," You can search for the- y-you know sort of the general direction? If you tried to cast a spell at him right now you’d have Disadvantage. Because you don’t… exactly know where he is? If you wanna do a Perception check it would take up your turn, but you could get a pretty good idea of where this person is. ",Perception
Athletics,"probably about fifteen to twenty feet away from you, he’s not right next to the wagon so that’s a, that’s a- Well, Magnus has a vertical leap of eighteen feet."," I’m-I’m- I’m gonna make you- I’ll let you do it, but you have to make a very low athletics check. If you’re just jumping, that’s athletics. ",Athletics
Investigation,"just barely, you throw it into the woods, you can’t exactly see- you see like a, branches rustling, and you throw your axe in that direction and you hear, Gerblin"," AH! Uh, and, so you know you probably connected, and got some meat in there, so roll 1D6, uh, +2, and that’s your damage. After you hear that ""AH!"" you don't hear anything, ever again, from that guy. He never makes another sound, ever again. One of them actually has a collection of small coins - coppers, silvers. They have a lot of them, though? Which equals out to about 20 gold pieces which you can split them up however- however you want. The horses are covered in, um, well not covered, they have a few obviously mortal holes in ‘em. Uh. Arrow holes, you recognize them as. Uh, but somebody’s taken the arrows back, a very prudent archer- So yeah, you got these 2 horses, they are, um… they are dead as shit. There are a few, uh, empty bags and containers lying around, um… They are actually a little bit warm. This was not a, um - this did not happen last night, as soon as they left. You assume maybe they made camp after leaving the tavern last night, and um… this may have happened within a matter of hours. Um. And, in fact, why don’t you guys make an investigation check, if you want, um, and I can tell you what you, what you can discern. So, I’ll explain the difference between investigation and perception. Perception is basically when you can’t see something and you’re trying to find out if something is there - that’s perception. If you know something is there and you want to know more, um, about it, that’s investigation. 11 , among the containers, you notice an empty map container. Uh, maybe a tube that uh, a roll of parchment could be secured inside - what you might ship a poster in, but fantasy like. Um, which you actually recognize from the tavern last night, as something that Gundren did have on him at the, uh, at the tavern. Uh. It has been uncapped, uncorked, it is empty, um, but you do take it to mean that these two horses did belong to- to Gundren and Barry Bluejeans. No, he didn’t. He didn’t give you his… his, this was a different map. This was not a map that, um… it’s a map that… it’s not a map that gets you from Phandalin to Neverwinter, that map doesn’t deserve a container. That’s a shitty map, that’s a dumb map of a route that anybody should know. Um, make a perception check. Looking for, I don’t know, blood or viscera. Yeah yeah, they… Um, so - so, Taako, you don’t see any blood or anything on the ground. I mean, there is a lot of horse blood, and it’s really hard to tell - I mean, obviously it’s more beautiful than human blood? More perfect. You don’t see any blood or anything, but you do notice, um, with your keen perception, you do notice a - a pattern in the dirt that suggests that they were, um, perhaps dragged into the brush around the area where the one gerblin shot his fiery arrow at you. And then dad threw an axe into the darkness and snuffed him out. You could also hide your cart in the brush. Yeah, sure, I’ll buy that, yeah. Maybe you take it down the uh, the path a little bit, it’s, uh - You, uh, you take it into the hole in the brush that you can see the drag marks in, uh, going through, and you, uh, sort of park it in the brush in a way that- It is fully, fully covered from the road, so you are um- you have more or less secured the wagon. ",Investigation
Perception,"just barely, you throw it into the woods, you can’t exactly see- you see like a, branches rustling, and you throw your axe in that direction and you hear, Gerblin"," AH! Uh, and, so you know you probably connected, and got some meat in there, so roll 1D6, uh, +2, and that’s your damage. After you hear that ""AH!"" you don't hear anything, ever again, from that guy. He never makes another sound, ever again. One of them actually has a collection of small coins - coppers, silvers. They have a lot of them, though? Which equals out to about 20 gold pieces which you can split them up however- however you want. The horses are covered in, um, well not covered, they have a few obviously mortal holes in ‘em. Uh. Arrow holes, you recognize them as. Uh, but somebody’s taken the arrows back, a very prudent archer- So yeah, you got these 2 horses, they are, um… they are dead as shit. There are a few, uh, empty bags and containers lying around, um… They are actually a little bit warm. This was not a, um - this did not happen last night, as soon as they left. You assume maybe they made camp after leaving the tavern last night, and um… this may have happened within a matter of hours. Um. And, in fact, why don’t you guys make an investigation check, if you want, um, and I can tell you what you, what you can discern. So, I’ll explain the difference between investigation and perception. Perception is basically when you can’t see something and you’re trying to find out if something is there - that’s perception. If you know something is there and you want to know more, um, about it, that’s investigation. 11 , among the containers, you notice an empty map container. Uh, maybe a tube that uh, a roll of parchment could be secured inside - what you might ship a poster in, but fantasy like. Um, which you actually recognize from the tavern last night, as something that Gundren did have on him at the, uh, at the tavern. Uh. It has been uncapped, uncorked, it is empty, um, but you do take it to mean that these two horses did belong to- to Gundren and Barry Bluejeans. No, he didn’t. He didn’t give you his… his, this was a different map. This was not a map that, um… it’s a map that… it’s not a map that gets you from Phandalin to Neverwinter, that map doesn’t deserve a container. That’s a shitty map, that’s a dumb map of a route that anybody should know. Um, make a perception check. Looking for, I don’t know, blood or viscera. Yeah yeah, they… Um, so - so, Taako, you don’t see any blood or anything on the ground. I mean, there is a lot of horse blood, and it’s really hard to tell - I mean, obviously it’s more beautiful than human blood? More perfect. You don’t see any blood or anything, but you do notice, um, with your keen perception, you do notice a - a pattern in the dirt that suggests that they were, um, perhaps dragged into the brush around the area where the one gerblin shot his fiery arrow at you. And then dad threw an axe into the darkness and snuffed him out. You could also hide your cart in the brush. Yeah, sure, I’ll buy that, yeah. Maybe you take it down the uh, the path a little bit, it’s, uh - You, uh, you take it into the hole in the brush that you can see the drag marks in, uh, going through, and you, uh, sort of park it in the brush in a way that- It is fully, fully covered from the road, so you are um- you have more or less secured the wagon. ",Perception
Perception,"just barely, you throw it into the woods, you can’t exactly see- you see like a, branches rustling, and you throw your axe in that direction and you hear, Gerblin"," AH! Uh, and, so you know you probably connected, and got some meat in there, so roll 1D6, uh, +2, and that’s your damage. After you hear that ""AH!"" you don't hear anything, ever again, from that guy. He never makes another sound, ever again. One of them actually has a collection of small coins - coppers, silvers. They have a lot of them, though? Which equals out to about 20 gold pieces which you can split them up however- however you want. The horses are covered in, um, well not covered, they have a few obviously mortal holes in ‘em. Uh. Arrow holes, you recognize them as. Uh, but somebody’s taken the arrows back, a very prudent archer- So yeah, you got these 2 horses, they are, um… they are dead as shit. There are a few, uh, empty bags and containers lying around, um… They are actually a little bit warm. This was not a, um - this did not happen last night, as soon as they left. You assume maybe they made camp after leaving the tavern last night, and um… this may have happened within a matter of hours. Um. And, in fact, why don’t you guys make an investigation check, if you want, um, and I can tell you what you, what you can discern. So, I’ll explain the difference between investigation and perception. Perception is basically when you can’t see something and you’re trying to find out if something is there - that’s perception. If you know something is there and you want to know more, um, about it, that’s investigation. 11 , among the containers, you notice an empty map container. Uh, maybe a tube that uh, a roll of parchment could be secured inside - what you might ship a poster in, but fantasy like. Um, which you actually recognize from the tavern last night, as something that Gundren did have on him at the, uh, at the tavern. Uh. It has been uncapped, uncorked, it is empty, um, but you do take it to mean that these two horses did belong to- to Gundren and Barry Bluejeans. No, he didn’t. He didn’t give you his… his, this was a different map. This was not a map that, um… it’s a map that… it’s not a map that gets you from Phandalin to Neverwinter, that map doesn’t deserve a container. That’s a shitty map, that’s a dumb map of a route that anybody should know. Um, make a perception check. Looking for, I don’t know, blood or viscera. Yeah yeah, they… Um, so - so, Taako, you don’t see any blood or anything on the ground. I mean, there is a lot of horse blood, and it’s really hard to tell - I mean, obviously it’s more beautiful than human blood? More perfect. You don’t see any blood or anything, but you do notice, um, with your keen perception, you do notice a - a pattern in the dirt that suggests that they were, um, perhaps dragged into the brush around the area where the one gerblin shot his fiery arrow at you. And then dad threw an axe into the darkness and snuffed him out. You could also hide your cart in the brush. Yeah, sure, I’ll buy that, yeah. Maybe you take it down the uh, the path a little bit, it’s, uh - You, uh, you take it into the hole in the brush that you can see the drag marks in, uh, going through, and you, uh, sort of park it in the brush in a way that- It is fully, fully covered from the road, so you are um- you have more or less secured the wagon. ",Perception
Stealth,"just barely, you throw it into the woods, you can’t exactly see- you see like a, branches rustling, and you throw your axe in that direction and you hear, Gerblin"," AH! Uh, and, so you know you probably connected, and got some meat in there, so roll 1D6, uh, +2, and that’s your damage. After you hear that ""AH!"" you don't hear anything, ever again, from that guy. He never makes another sound, ever again. One of them actually has a collection of small coins - coppers, silvers. They have a lot of them, though? Which equals out to about 20 gold pieces which you can split them up however- however you want. The horses are covered in, um, well not covered, they have a few obviously mortal holes in ‘em. Uh. Arrow holes, you recognize them as. Uh, but somebody’s taken the arrows back, a very prudent archer- So yeah, you got these 2 horses, they are, um… they are dead as shit. There are a few, uh, empty bags and containers lying around, um… They are actually a little bit warm. This was not a, um - this did not happen last night, as soon as they left. You assume maybe they made camp after leaving the tavern last night, and um… this may have happened within a matter of hours. Um. And, in fact, why don’t you guys make an investigation check, if you want, um, and I can tell you what you, what you can discern. So, I’ll explain the difference between investigation and perception. Perception is basically when you can’t see something and you’re trying to find out if something is there - that’s perception. If you know something is there and you want to know more, um, about it, that’s investigation. 11 , among the containers, you notice an empty map container. Uh, maybe a tube that uh, a roll of parchment could be secured inside - what you might ship a poster in, but fantasy like. Um, which you actually recognize from the tavern last night, as something that Gundren did have on him at the, uh, at the tavern. Uh. It has been uncapped, uncorked, it is empty, um, but you do take it to mean that these two horses did belong to- to Gundren and Barry Bluejeans. No, he didn’t. He didn’t give you his… his, this was a different map. This was not a map that, um… it’s a map that… it’s not a map that gets you from Phandalin to Neverwinter, that map doesn’t deserve a container. That’s a shitty map, that’s a dumb map of a route that anybody should know. Um, make a perception check. Looking for, I don’t know, blood or viscera. Yeah yeah, they… Um, so - so, Taako, you don’t see any blood or anything on the ground. I mean, there is a lot of horse blood, and it’s really hard to tell - I mean, obviously it’s more beautiful than human blood? More perfect. You don’t see any blood or anything, but you do notice, um, with your keen perception, you do notice a - a pattern in the dirt that suggests that they were, um, perhaps dragged into the brush around the area where the one gerblin shot his fiery arrow at you. And then dad threw an axe into the darkness and snuffed him out. You could also hide your cart in the brush. Yeah, sure, I’ll buy that, yeah. Maybe you take it down the uh, the path a little bit, it’s, uh - You, uh, you take it into the hole in the brush that you can see the drag marks in, uh, going through, and you, uh, sort of park it in the brush in a way that- It is fully, fully covered from the road, so you are um- you have more or less secured the wagon. ",Hide
Perception,"we’re here. A wave of bats- Taako Excellent. -comes pouring out. A wave of gas? Bats. Bats. Bats. Bats. Baseball bats. Do the bats have gas? They definitely do, yeah.", Roll a perception check to see if the bats look gassy. ,Perception
Perception,"draw closer to them, they seem more agitated. Couple of them are snarling at you now. Uh, they are- But there’s nothing else in the room other than these wolves?"," Um, make a perception check? [dice noise] ",Perception
Perception,"‘so there’s some wolves down there, it doesn’t seem like it’s worth it, let’s keep going.’ Taako Excellent, well, I trust your judgement. Okay, I’m into that. Off we go."," I’m into that - yeah, sure. Alright, so, uh, you can continue down the uh, cave. It’s getting very dark, basically the natural light that was coming in from the mouth of the cave is… it was providing quite a bit, so you can see kind of until now basically, uh, and now you need your light axe, your mag-light, uh, to really get around. Um, Merle and Taako… I almost forgot your name, impossibly. Um, you are… you don't need it. You can see basically just fine down here. Um, so uh as you are moving down the cave alongside this, this stream, you notice across the stream to the left uh is a uh- is a another passageway but this one is just like covered in rubble. It seems like it’s collapsed. Um, down, down a ways. And uh, make also a perception check? Looking down the length of the cavern, in the direction you’re moving? [dice roll] {1",Perception
Athletics,"can- Alright, I will climb - I, I will climb. What do I need to do? Uh, you will make a- I’m gonna try to climb up, to the overpass."," Okay. To climb, you make a… an Athletics check. To basically scale up the wall. You’re not climbing that high, and there is like a, rah, rocky craggy surface, so- ",Athletics
Athletics,"the bridge is relatively rickety, it’s of gerblin, uh, construction, so it’s not amazing, but it looks like it’ll hold your weight. Okay. So I roll a 20 sided die?"," You roll a 20 sided die, and you add your, uh, your Athletics. [dice roll] ",Athletics
Athletics,"it looks like it’ll hold your weight. Okay. So I roll a 20 sided die? You roll a 20 sided die, and you add your, uh, your Athletics. [dice roll]"," [tch] Alright.. I rolled a 3, so my Athletics is 4, that makes it 7. ",Athletics
Athletics,does that sound funny? [talking at the same time as ] Because of the character! [talking at the same time as ] Because of the racism? [laughter] There’s no racism!," Uhhm, alright, Merle and Magnus you guys can make a, make a - Uh, it's a, it's, it would be an Athletics check? Just to get up this rope. It would be a very low check though. ",Athletics
Stealth,"- Taako Yeah, I'll be - It'll be better by myself. [talking over Taako] Well yeah, because if we're trying to be stealthy, it's always better to have smaller numbers."," Okay. So if you're gonna have a Stealth check—I'm guessing just to move to the end of this channel and just sort of peek - peek around the corner to get an idea of what's going on in this room—you'll make a Stealth check, and I will contest it with a Perception check. ",Stealth
Stealth,"- Taako Yeah, I'll be - It'll be better by myself. [talking over Taako] Well yeah, because if we're trying to be stealthy, it's always better to have smaller numbers."," Okay. So if you're gonna have a Stealth check—I'm guessing just to move to the end of this channel and just sort of peek - peek around the corner to get an idea of what's going on in this room—you'll make a Stealth check, and I will contest it with a Perception check. ",Stealth
Perception,"- Taako Yeah, I'll be - It'll be better by myself. [talking over Taako] Well yeah, because if we're trying to be stealthy, it's always better to have smaller numbers."," Okay. So if you're gonna have a Stealth check—I'm guessing just to move to the end of this channel and just sort of peek - peek around the corner to get an idea of what's going on in this room—you'll make a Stealth check, and I will contest it with a Perception check. ",Perception
Stealth,"character that you don't know is there, but Taako does. Okay. Gotcha. I'll wave them over. Okay. They are going to, uh - [talking over ] We're not so stealthy!", They are also gonna need to make Stealth checks. [pause] ,Stealth
Animal Handling,"than McElroy. Is it my turn yet? Uh, it is Magnus's turn. We're to the top of the order now. Can you ask him to call off the wolves? [pause]"," Can I roll a quick Animal Handling check to see if there's any possibility of like, controlling the wol - like, [chuckling] befriending my animal friends? ",Animal Handling
Animal Handling,"off the wolves? [pause] Can I roll a quick Animal Handling check to see if there's any possibility of like, controlling the wol - like, [chuckling] befriending my animal friends?"," Uh, you wanna make an Animal Handling check, to see if you can call off this wolf? [pause] Um... Yeah, sure. Go right ahead. ",Animal Handling
Intimidation,"shouldn't say the sentence out loud, “Yahweh is dead.” [laughter] [muffled] Now hold on - [talking over ] Just for future reference, we should avoid saying that sentence out loud.", So I would like to roll an intimidation check - ,Intimidation
Intimidation,"Uh, here's some flavor. You killed him and you didn't even think twice about it. You just did it, impulsively. You murdered another gerblin. You're - you're deeply broken inside."," Great job. [laughter] Next in the order is, uh, the wolf. The wolf is going to charge at the goblin on the far left. [sound of a die rolling] Fifteen, which ties their armor class, so that's a hit. 2d4 plus two. [sound of a die rolling twice] Uh, that's a four, plus three, seven, nine. Uh, he uh, tackles the goblin on the far left to the ground, and he, uh, he stops moving. Next in the order is the goblins. Um, there's only two left. That is enough to intimidate them. Uh. One of them runs, turns and runs, and, uh, and sort of scurries down that chimney. Uh. Another one goes over there, uh, and - and tries to get down that chimney, but he gets stuck along the way, hilariously. [laughter] ",Intimidate
Animal Handling,"upset, but the - Merle [babytalking] Aww, come here Ruby! Come here - Uh, she bites all of your hand off. [ laughing] Oh, that’s alright, I don’t care -", Let me roll for animal handling! ,Animal Handling
Perception,"on Saturday Night Live. I would like to - can we - That show hasn’t been invented yet. Oh. Or, has it already happened? Oh shit, future - future fantasy."," Yeah. Blew your mind. I think we oughta - before we head out, I think - can we do one of those perception checks or whatever? ",Perception
Sleight of Hand,on him a pair of - I do it covertly so the other guys don’t see. [laughing] Okay. Make a st - make a stealth - Hey! That’s my cousin!," Make a sleight of hand check, then. ",Sleight of Hand
Sleight of Hand,"culture, it’s a blessing that we do for the dead, (laughter) that we help to - I’d like to roll against this roll-- Help to usher them into the next...world."," Okay, , , make a sleight of hand check, and Dad, make a perception check. ",Sleight of Hand
Perception,"culture, it’s a blessing that we do for the dead, (laughter) that we help to - I’d like to roll against this roll-- Help to usher them into the next...world."," Okay, , , make a sleight of hand check, and Dad, make a perception check. ",Perception
Sleight of Hand,"[ sighs in relief] When Merle’s not looking. [laughing] Mmkay. Make a sleight of - [laughing] Just like, slip it - wooop - Merle Hey guys, what’s - whatcha doin’?", [laughing] Make another sleight of hand check for me. Merle,Sleight of Hand
