skill,backward_text,original_name
Perception,"“I suggest we leave our current comm gear here. e can grab a new set when we hit…” he looks around. “ ell… along the route we are taking.” He takes out his own comm, drops it, steps on it, pulls the battery and storage out of the remains, pockets the storage and tosses the rest.“ , if you could check out the systems on the Venture and make sure nothing nasty is in there, that’d be useful.” spends his time going over the exterior of the Venture, looking for unwanted guests {five perception successes}. He also keeps an eye on the crew installing the cannon. hen he’s done, he pulls his fellow runners, and Fiona, into a cluster and says in a low voice “Hopefully, the biggest problem on this trip will be finding fuel. I have some inside info from my smuggler friend, but if any of you have friends along the way, now’s the time to call in favors.” ",Perception
Perception,""" , wait! This room is probably filled with traps.""Digs scans the room ",Perception
Investigation," looks to the hare then at Elmo.""I better not be Fatso...""He gets up and walks over to the hare to examine the trident and note. ",INVESTIGATION
Investigation, tosses the note over his shoulder and storms out of the door.As he walks down the hall cursing and grumbling to himself about the Redblades he retraces the rest of the teams foot steps to find out where they have disappeared to. follows their trail to the room full of stalagmites and begins to search for them as they seem to have disappeared. ,INVESTIGATION
Investigation," stops as soon as he hears what sounds like a woman screaming. He turns in a circle looking around for where the blasted noise is coming from.""Who is doing the screeching!? Where are you woman!?"" ",INVESTIGATION
Perception," tucks the tome inside her vest, and moves around the perimeter of the hall... interested in the details of the weapons and paintings for certain, but also looking for any sign that the assassin might have escaped the chamber somehow... ",Perception
Investigation," tucks the tome inside her vest, and moves around the perimeter of the hall... interested in the details of the weapons and paintings for certain, but also looking for any sign that the assassin might have escaped the chamber somehow... ",Investigation
Investigation," finally hears Alyssa and looks around at the stalagmites.""Yeah! They are kind of hard to miss! What about them!?"" begins to look around at them trying to figure out what in the hell she is babbling on about. ",INVESTIGATION
Investigation,"""Darn, it would have been nice to be able to ask him some questions..."" Elmo starts rummaging through the ferret's robes, seeing if he has anything useful, valuable, or informative on him. ",Investigation
Perception,"""Smoking mirror damn it! Any unique traces about where the portal came from?"" I mutter angrily while checking to see if anything else has happened. ",Perception
History,"""I know about the Lower Plane one and the ones the cats and the two legs came from, but what exactly is Phyrria and Pantala? Are they elemental planes or something else?"" I ask out of curiosity to Blutz, admittedly planer dimensional theory isn't my strong point. ",Lore
Stealth,"Willow runs, snatches the potion up off the ground, and rolls to Garyn's side, pouring it into his mouth.  She then runs back to her hiding place.  ",Stealth
Stealth,"The mouse and his halfling look at the situation; they're fighting a wagon.  A freaking wagon. With a somber expresssion, Ogre squeaks in Willow's ear.Nodding, Willow says, ""I know, right?  Too weird.""She shrugs.""Let's have another arrow, Og."" The mouse complies, Willow lets it fly... ",Stealth
Persuasion,"Also in an appropriate place from 's introduction ""My name is , and I was born at Esgaroth. My family now live and work in Dale. Like all Bardings, we honour the assistance you gave at that time it was refunded."" ",Courtesy
Intimidation,I am a woodsman from East of the Misty Mountains of the old lineage from beyond the Sea. I am guide and bodyguard to these fine merchants.  ,Awe
Persuasion,"""Lord , if I may add some news? It is always difficult to read signs when there has been some time passing, but I have tried and read it thus: We crossed the trail of your thanes a day or so after their last fight. The signs that I read suggested that orcs were moving around the banks of the Anduin. Jot here, "" gestures towards Jot, ""believes them to be of a tribe with little purpose except the mean nature held  by all of that ilk. They may have bèen planning a raid on your farmlands or your animals. I believe that Merovech discovered a few orcs on this side, slew them, and was heading for the West bank to finish off the rest, when the cowardly orcs fired their darts and arrows, wounding or killing your men. As has said, this did not stop one final mighty strike that slew two with his only throwing spear. If there were any remaining goblins, the terror of these two men - even wounded and dying - sent their craven legs hotfooting away. Either the flow of the Anduin  itself, or a westerly breeze, pushed the boat back to this side. So no goblin scum was able to reach the bodies. In this way they have been preserved to return to their homeland. In that we are fortunate to have been their bier carriers. There's was a mighty last fight, with all honour to their memory. "" is keen that the full story is relayed to . He feels the fight by these two thanes has to be reported well, because the two deserve maximum praise for an epic action. (He will use a point of hope to help the get this correct tone to if needed) ",Persuade
Intimidation,"“Be it folly or dare, the death of Merovech and Odo claim vengeance! But first of all, we should find that fugitive. He witnessed the attack and the murder and I think he must be caught before he commit some other mischiefs.”Awawulf said, his voice made stern by grief and anger. “Do you know Where Merovech was coming from?”Finally, he asked . ",Awe
Insight," has considered what has been said, "" Lord , if it is your wish for somebody to finish this task, then it seems to me that we  could be well placed to offer our help. We have all been impressed by your men's actions. We are also true people who oppose evil and injustice, we would not walk away from what is the right thing to do, any more than you or your people would. As a member of the kingdom of Dale, I would be pleased to do something to show that we do not forget those who helped us.BUT we do not turn aside from our duty either. We are protecting and escorting these two halflings as they make their way south to a place I have been told is Woodland Town.  You need somebody to head south to seek out news of what your thane' s  business was. Clearly we can search in a southerly direction for you and fulfill our obligation to our friends. will do his duty to his people and his Lord, while we will support him as our  companion. It would be a help to rest a while to regather our strength and if we could restock our supplies as well, we could learn of the places that the lords Merovech and Odo might have visited. I think that our  noble friend, the dwarf Larsi, knows the way south to the Woodmen, but we would be eager to learn if there is any recent news from the region about the best ways to travel or if there are any dangers along the path. For instance, should we go overland, or would you advise us to use the river to make our way? Are there water carriers who might take a party such as ours?""(Insight to try & read how acceptable this is to . It will be followed by a Persuade roll to get to stay overnight (or longer) to get some rest or better. We did get a lot of positive interactions in the introduction. If the Insight does well, then might get a bonus dice for the Persuade roll?  ) ",Insight
Persuasion,"(and the Persuade roll, worth a point of hope to get the overnight stay and perhaps a bit of a recovery period)Obviously add the 7 for the favoured skill and burn Hope to get us all a rest. It might be nice if this is successful to use a fellowship point here if others support this. Total roll becomes 12 +7 = 19. Hopefully enough... ",Persuade
Performance,"""  Jot here has identified the orcs as members of a disorganised and renegade, nomadic tribe, the Bragonkruze. He is a specialist in Orcs. For my part, I can state that I found no trace of warg prints, but with a river to cross, that does not surprise me!Across the forest along the highway from Dale to Esgaroth, there was a pack of wargs, that we think travelled around from the grey mountains to plague our farmlands. I was part of one of the hunting bands that chased them down. I slew a warg in its winter white coat before Yule less than a year ago now. Having spent many weeks on their trail, I can readily spot wolf tracks from those of dogs: and can tell somewhat of the size of the wolf involved. I have little knowledge of Orcs and goblins, except what Jot showed us in the past days. There have not been any recognised troubles with them for several years; there are always scares and rumours when animals are found dead or a person goes missing, but the hunters and the authorities do not hold much by these rumours in the two towns.""With earlier rolls, perhaps these mediocre rolls have no effect/bonus. Clearly 's singing skills and rhyming need some work! ",song
Performance,"Jot successfully relates the story of the trip through the woods and the spiders...  the hermit... and the well.  Without eloquence and without rhyme, but his plainspoken rendering does the deeds justice and looks impressed. ",Song
Performance,"(OOC: Song,I'll spend a hope point if needed) ",Song
Persuasion,"During the evening meal, this is a more important and solemn occasion than before, during the introduction. so will attempt Courtesy (skill 2) to describe the impressions of Merovech and Odo made by their actions. Hope (+5) will be used as well if the TN is reached.Great success with TN = 12; but need Hope to get Great success if TN is a bit higher. If we are also to attempt Riddle and or Song can try that as well in later post ",Courtesy
Performance,"Only if needed two rolls song then riddle to add flavour to the funeral /remembrance service. (Check for added Hope later if needed)Clearly, has somehow swallowed Belgo's frog and got it stuck in his throat. This is a skill that should not be using in any sort of company. Perhaps his singing voice can be used to intimidate a balrog if they ever find one...if another point of hope is still needed(required)  to convert the Riddle into an ordinary success then it should be spent.In that case, will ask many questions about the history of Odo and Merovech, showing such an interest that the recalling and memory of the feats of the two dead thanes  brings great pride to the assembly.Merovech once single handed stopped a party of goblins from burning down a farm with his bare hands. While it is remembered that Odo tracked and rescued an abducted baby from a marauding small troll. The head of that Troll still is used as a door stop outside the mill operated by the family of that baby. Such a feat brings a round of laughter to all. ",Song
Insight,"The general merriment of the evening needs to reach a climax; a Great Toast is a normal thing in Dale, so will consider if he can draw any conclusions about the rituals observed by ings.  is holding the Spear of Merovech, he had been handed it earlier by as the party arrived.(Will attempt Insight first to see if he has observed anything about the words used by the homesteaders as they comment on Odo and Merovech.)(After this roll:) has seen that after a toast or a boast, the drinking vessels are being passed to the neighbour on the right. Although he was caught out on the first toast of the evening, he has followed this habit through the evening, and by not over-imbibing each time, he has kept a clear enough head to call out for, ""A Mead Raise to salute the right arm of Merovech. "" This of course is readily received and acted on.He will add a careful question straight after this toast, "" Lord , is this the time for the Spear of Merovech to be passed into his family? If so, may some of us ask for the honour of refilling the bowls with mead? We would like to join in toasting the Spear Gifting to his son Merovinn if that is acceptable to the assembly.""(whispers an aside to and also Larsi: "" This might be a time for any Song you have prepared"") ",Insight
Performance,"After a short break, Larsi's mind wandered, the thoughts of the great passage, its whereabouts, and the works of his ancestors. He started to sing a small tune to himself, barely more than a murmur at first, his instrument resting on his lap, its performance uneeded.""The Dwarves of yore, their hammers fell.Forging sword, and ringing bellThey sung their songs, with ringing gongsUnder the mountains and river dell.-In gilded halls, made for themselves, Hid far away, from men or elvesThey played their chordsWith string and cord,The chorus rung, into the delves.- ",Song
Performance,"In the evening, having drained the bowls, helped the family building the pyre and laying the two bodies onto it. Then, when Merovech’s son was going close to it wielding the burning torch, began to sing a lament for the two dead heroes.Where now the spear and the warrior? Where is the voice that was roaring?Where the hand that was so mighty, and the golden hair flowing?Where is the path and the river, and the flute that was blowing?Where is the din of the battle, in which your swords were dancing?Alas for the bright eyes! Alas for your strength!Alas for the fathers! Alas for the friends!Like the Spring you pass’d away, may your song last forever!Like the river and the sea, may your song last forever!Glory to Merovech the great, may his song last forever!Glory to Odo the hero, may his song last forever!The moon had not risen at that time, and the stars were glinting in the dark night. Then, when finally the song ended a light breeze from the west rustled the leaves and in the silence the pyre was set on fire. ",Song
Performance,"Asking Merovinn's approval and consent first, takes his two best carved arrows and adds them to the fire. It is his personal mark of respect and sacrifice as a hunter from Dale.(surreptitiously he will attempt a craft roll as well)(Roll result:  Gandalf: that one is fated!)He has created his first successful flame arrow!  and he sends it up and into the heart of the pyre. ""Let this be my contribution to their last journey, may the flames light their way forward and hold the Shadow from them. "" ",craft
History,"(Roll Lore for travel hints - he has been talking to ings after all and later will roll explore for scouting duties)(after roll - so close to a great roll; )Although can remember having a conversation about the ways south with Merovinn, it was during the drinking sessions after the funeral: predictably his morning after memory is not so helpful.  ",Lore
Survival,"Surprisingly cheerful for one with a bit of a headache, walks around the loaded up ponies  (who have also had a break ) checking that the loads look well strapped in place. Baldor has made a few trades with some of the ings - some Freshwater pearls from the Long Lake, and a few metal tools originally crafted in Erebor, but traded through Dale to Esgaroth: and now to the western side of the wood. He has been very fortunate to offload a few high quality whetstones. He has picked up some honey flavoured by being cultivated principally from a red or yellow species of giant clover. This is said by many (including Radagast ) to ward off some diseases or infections of the throat. As winter approaches it will be popular further south where that flower does not grow. Since they have all benefited from a brief rest at 's house, there is almost a casual approach to the start of the journey. Everyone seems a little more relaxed. (Is this a scene change?)(Will roll Explore and Travel for the next leg, but if anyone wants to role play a bit before we set off, then the rolls can apply after that role play)  After the rolls , obviously if there is anything to find with an explore roll it will be worth a hope point, then will get a great success. And a great Travel roll for a change. Those honey cakes are the best. ",Explore
Survival,"Surprisingly cheerful for one with a bit of a headache, walks around the loaded up ponies  (who have also had a break ) checking that the loads look well strapped in place. Baldor has made a few trades with some of the ings - some Freshwater pearls from the Long Lake, and a few metal tools originally crafted in Erebor, but traded through Dale to Esgaroth: and now to the western side of the wood. He has been very fortunate to offload a few high quality whetstones. He has picked up some honey flavoured by being cultivated principally from a red or yellow species of giant clover. This is said by many (including Radagast ) to ward off some diseases or infections of the throat. As winter approaches it will be popular further south where that flower does not grow. Since they have all benefited from a brief rest at 's house, there is almost a casual approach to the start of the journey. Everyone seems a little more relaxed. (Is this a scene change?)(Will roll Explore and Travel for the next leg, but if anyone wants to role play a bit before we set off, then the rolls can apply after that role play)  After the rolls , obviously if there is anything to find with an explore roll it will be worth a hope point, then will get a great success. And a great Travel roll for a change. Those honey cakes are the best. ",Travel
Survival,(ooc: travel + hunting x tracks) ,Travel
Survival,(ooc: travel + hunting x tracks) ,hunting
Perception,""" This is just up from Brokenstone and right across Dale from the palace. White Lane with all the dwarf craftsmen are over there. I wonder how close we are to that toymaker? He told us to look out for the Ravens. This could so easily be a message from him.  I think we need to drop a quick line to Bramnir to let him know where we are. It would be prudent to leave one of us outside to met him and say what we are up to. ""Amdir will look the place over and then will decide if he will march promptly over to the doorway. He will attempt to get access without being seen. Assuming there is nothing revealed by the exterior of the rather grey looking and tired building, Amdir will attempt to stroll over to the place where the hand has retreated to. Remembering the situation at the barracks, he loosens his sword in its scabbard. Making it safely to the door, he pauses for thenothees to make their move.  While waiting he is scanning the streets for movements, and for any passer-by who might look too interested in an Elf warrior in this part of town. ",Awareness
Stealth,""" This is just up from Brokenstone and right across Dale from the palace. White Lane with all the dwarf craftsmen are over there. I wonder how close we are to that toymaker? He told us to look out for the Ravens. This could so easily be a message from him.  I think we need to drop a quick line to Bramnir to let him know where we are. It would be prudent to leave one of us outside to met him and say what we are up to. ""Amdir will look the place over and then will decide if he will march promptly over to the doorway. He will attempt to get access without being seen. Assuming there is nothing revealed by the exterior of the rather grey looking and tired building, Amdir will attempt to stroll over to the place where the hand has retreated to. Remembering the situation at the barracks, he loosens his sword in its scabbard. Making it safely to the door, he pauses for thenothees to make their move.  While waiting he is scanning the streets for movements, and for any passer-by who might look too interested in an Elf warrior in this part of town. ",Stealth
Persuasion,"Looks back over the shoulder of the dwarf, onto the street and beckons over in particular.  To , ""May I introduce of the Grey Mountains and Zaken from the Long Lake. We met briefly in the market, and we are intrigued at your efforts to talk with us. In these dark times of dark news, we will be very interested in any ... urgent ... business that may help us. We are ,er, connected with the authorities and have an obligation to assist and investigate on their behalf. I am a humble elf as you say, and would will step back now, so that will take the lead."" ",Courtesy
Insight,"The torchlight makes it look more sinister than it is, but turning to , addresses him in Dwarven tongue: Your sympathies seem to lie with Erebor and the merchant crafts, but speak plainly if you side with the miners!  It is very important before we proceed! ",Insight
Persuasion,"""We are investigating the reported death of , we have already fought an orc in this very town if you can believe it who was under some sort of mine control.  Zake and I for sure side with the merchant crafts, the insular ways of the miners lead us to doom with the greed and stiff necks.  Tell us friend what you know, we can help!"" ",persuade
Insight,"""I have special place in my heart for people who interfere with travel along the river.  There is plenty of honest work available now, they have no excuse for their banditry!""""Maybe if I knew more about where you ambushed, I could gain some insight who these guys are."" ",Insight
Persuasion,"(Thinks: It is only right that we update Bramnir - but I wonder if letting him know all that we know might put him in a quandary: he may feel that it is his duty to inform Elstan and thenthe secret about 's non- death is at greater risk of being let out too soon.)(To ) ""Lord , may I ask your opinion and your wishes about the following matter? We have a contact in the town militia, who is a member of our group. But he is of course under oath to the Royal Guards and may feel a conflict of duty if we inform him of your current position. We will have to keep him in the dark, else he may feel obliged to reveal your status to Lord Elstan. Of course if Lord Elstan is already in the know, or King Bard, then perhaps there is no risk.  Can you let us know who else is aware of what you are doing? It would be useful to know who else we can approach in the city - if anyone""(will roll courtesy if that helps the request for information)  ",Courtesy
Insight,"""We are looking to learn about any unusual shipping activity, strange cargo, strange people, or boats arriving empty who had no reason to be.  We have reports of river pirates ambushing good folk on the river and we have been asked to look into  it.""""Looks around the shop, when we are done, I will stop back in to discuss some business opportunities!  I am a river man through and through and can get anywhere with water under my keel!""ooc: insight to see if there is anything that I can do to help her ",insight
Athletics,  ,
Arcana,Gira will cast guidance on himself then investigate the remains. ,Arcana
Medicine,"The strange many-mouthed black thing ripped and tore at , leaving the massively obese orc reeling where he stood. Flesh and blood violently ripped away from him in chunks and splatters. His axe fell from his hand and was destroyed by the demon before it got the ground. Slowly, as if mimicking a giant oak tree, fell backwards. The ground reverberated as his mass met the soil, his fat rolling in waves as the energy of the impact flowed through his body.The darkness fades from his vision and everything he could see was oversaturated in light. Up in the sky, he could see the gates to Valhalla. He tried to reach them, but they were too high. Too high. His sacrifices were not enough to climb the considerable distance. He knew it was not his time. Not now. Not when Freyja was there on the ground with him fighting to...--------------Witnessing the orc fall, was quick with her paper spell. She ran to his side and was ready to read the magical words aloud, staying death and keeping him alive. But she found she did not have to. Weather by luck or strength or pure fanatical devotion to the dark gods, somehow clang to life.---------------The world came back to . His eyes cleared as a salty tear ran down his face towards his ear. He blinked away the saturation of light and looked to . ""I knew it wasn't my time,"" he said. ""I knew you had more for me to do, Freyja."" ",Heal
Nature,"And as suggested, let's check the state of Yasmin's slave belly at the moment against the slave handling skill of Lucius. Yasmin has 4D+2 and Lucius has 4D+1 ",Wild
Nature,"And as suggested, let's check the state of Yasmin's slave belly at the moment against the slave handling skill of Lucius. Yasmin has 4D+2 and Lucius has 4D+1 ",Wild
Nature,Lucius has a pleasure skill of 4D and I'd rate this as an easy task given the Yasmina's state of arousal. ,wild
Nature,"OOC: Just having my early morning breakfast coffee now, so ctaching up with things. :) I think a pleasure roll in the context you've used it (i.e. slave use of a white silk girl) would work as an opposed dice roll between relevant atributes/skills, rather than against a target number. My understanding is a target number applies when you're trying to achieve a result against an abstract something. i.e. trying to scale a wall, you roll vs an appropriate difficulty number, as the wall is an abstract something without stats, as opposed to a player character. Where you have an 'opposed action' against a player character, you both roll suitable attributes/skills. So in this case it would be your Pleasure skill versus Yasmin's Will. Her base Will would have a penalty applied because she has failed her slave belly test just earlier, which makes it easier for you. As a rule of thumb I'd use the table of successes on page 67 in respect of the fail of my slave belly roll previously to determine the level of the difficulty factor applied from page 66, on a like for like basis. i.e. the first 'solid success' of 1-4 points fail difference on the table would equate to the first category of +5 difficulty on the other table and so on.  Yasmin failed her slave belly test by 2 points and so that would fall in the 1-4 solid 'fail' which presents her now with a +5 difficulty factor to her resistance to your Pleasure roll. Hope that makes sense? I suspect with that sort of penalty the overall result will be the same as when you rolled against a base difficulty number.  So, you have a Pleasure skill of 16 which is enhanced by the difficulty of +5 because Yasmin is already aroused by what you did earlier, giving you a score of 21. Yasmin rolls her 4D6+2 Will to try and control herself. Which I'll roll now. :)The only other thing to mention is it's probably best to make things like 'Pleasure' rolls before writing a post, just in case for example you wrote a long post describing a success only to then roll a failure... ;) It's perfectly permissable to roll for both of us to speed things up and get an immediate result of course.  So let's see how our 'frigid' heroine withstands those hands on her sex...  ",Wild
Insight,"""Let me take a look at the writing, it wasn't written by just any dwarf but instead by THE dwarf that is at the heart of this matter.  I wonder if I can tell anything from the penmanship. Not really my thing but I can at least try.""ooc: use insight to see if can learn anything about the penmanshipooc: I will add 4 hope if it matters ",insight
