skill,backward_text,original_name
Persuasion," As one dwarf to the next will lead the meeting.""Greetings again, noble Lord. We have been busy and will be glad to let you know of our searching. We have only now left the Captain Elstan: it seems that he is now aware of your real position. Although any casual citizen might think he is looking into your reported demise, he has left many of the avenues of enquiry open to us. I am proud to say that we have been delving deep into those avenues with some information that we will aly before you for your valued judgements.First of all, however, may I offer you our continued services, and express our pleasure that you are in good health. "" (bows with a sweep of his arm across his chest, taking off his hood to complete the civilised greeting.) (OOC: although a Courtesy roll might be added here, it seems unnecessary as everyone knows everyone - can roll it if required)""First to report, concerning your own report of the people who were involved with the boat attack on the road back from Ashbrook. The boat itself was of Dorwinion make: but we are not too sure that means anything as it was stolen from an upright citizen of Dale - Gwion the music seller.  The real thing about the boat is that it is of course a little colourful  and distinctive for most members of Dale so it is more easily remembered.  One of our contacts (Katun, an easterling merchant) knew of the boat and put us on to Gwion. She also knows him and can vouch for him.  We then went to speak to people working at the docks, and of course to Gwion.Secondly, then, we learnt that after the attack the boat was attempted to be destroyed. Your attackers did not do an effective job there either! When the boat was discovered and reported, the Reeve had the owner traced. So when Gwion arrived he found his intended pleasure boat in a poor state- but repairable. Gwion has passed on a letter found in the wreck - this letter.."" (passes note to ) ""..of course we have also asked Thrun about it. He and I agree it is in a style that dwarves would write, the language is the Common, and refers to a 'passage in preparation'. If this is correct then something sounds to be imminent!We have some more to tell: your lordship will no doubt remember that we were told  by the Harbour Reeve (Halward) that some people had been seen around Gwion's boat - and they were talking to people wearing uniforms of red.    This brings us to our third piece of news: Thrun and Donar both know of three possible Nobles who employ servants in red livery. Lord Bryni of Strandburg, Lord Gunvar of Ashbrook - that would be not too far from where you were attacked we would like to note - and the third noble is that well known Dwarf-hater, Thegn Osgar of the withered arm. About these three: We have at least two accounts that suggest Lord Bryni is a most unlikely member of the conspiracy: his servants think him a fool and getting to be vain and a spendthrift. His actions are simple: and observations by Milo here, ..."" (points to the hobbit, who seems to be almost asleep, but actually is nibbling an apple he has found in his pocket) "".. show Bryni to be a very inactive person, concerned only with shopping and eating. We think him to be a low concern, and  a fop, like his servants.Thegn Osgar is interesting: at first, the most bitter, and the one who it is easy to believe would enjoy the  enmity between Dwarves  that we rescued Thrun from. But we have learnt that he is  a man of honour. He would have to join with the Miners iof the Iron Hills  in their disputes with the merchants and FingerCraft Dwarves in Dale, in order to be at the back of the argument in the Market. He would have to act against his principles to do that - he has publicly stated he will never back a Dwarven enterprise until they have finished rebuilding both Dale and Esgaroth: and at no charge! (Well THAT is not going to happen!) Frankly, even if he backed one of the two sides, he would have said so in open council. Instead, we understand that he has always opposed all Dwarf activity in Dale; but he has done this publicly and within the law. No, we do not suspect him or his men.I leave our other noble to last. The Lord Gunvar has no obvious evidence directly against him. Well, none that we have uncovered in the last day or so! However, careful examination of the events of the past few days reveal (1) he was around the market when Thrun was abused and we had to stop a fight - he was 'buying toys', but we saw no evidence of it. (2) He is Lord of Ashbrook - and you had been sent in that direction when you were attacked (3) he has been involved in 'plots' before - this is no other than Captain Elstan's knowledge, and if he has not been caught yet, then he is careful enough not to be caught yet. Gunvar is our main suspect; but we have yet to find any dwarf he is linked to: either in Erebor, Dale or even the Iron Hills. I assume that you are intimate with the dealings of the Dwarves of the Lonely Mountain and of King Dain - bless his beard and boots! -, but is there anyone in Dale who is the emissary of the Iron Hills in this city? And do you know them? We could look any office over. "" ",Courtesy
Insight," One the the dwarves begins to explain the intricacies of the game, but the other interrupts him. Mumbles something in dwarfish about keeping focused on the goal. Who are you then and where do you come from?  The insight roll lets you know he is distrustful and hiding something. The first dwarf is more open and trusting.  ",Insight
Medicine,"  The illusion says ""I'll begin then. Please try not to judge appearances..."" Then the illusion vanishes.About 15 feet away, the real surgeon appears, turning uninvisible. He's clearly undead, resembling a ghoul of some kind. He's probably actually wearing pants, and his hands and face may not be covered in gore - yet.When he actually speaks, it's including hisses and slurps. It's probably unsettling. ""Thissh will take mosht of the night. To do properly, musst take our time. I'll take the blood firsht - that won't hurt, I'm very gentle. Then replace with sssssome blood I have brought."" He can't help but lick his lips talking about blood so much. ""It will help the processss of integrating your new bonesss.""He opens a bag to show the implants. There are over a hundred small bone spines, like thick needles. ""I'll put you to sleep for the resht, thhhat part will hurt. I'll need to attachhh each of thessse to your own bones in the palmsss of your handsss and sssholesss of your fffeet.""   The process is he takes your blood, then gives you new blood thats supposed to help, then knocks you out and pokes long tiny bones into your hands and feet. It sounds shady, but he really does look very clean for a ghoul. Everyone else gets some sleep and the kobolds watch out for anything shadier than you signed up for.He'll make a Medicine check and you'll make a Con save and hopefully they're both good. 1 baseline level of exhaustion, and 16 DC to not get any more, on each check. So they can stack up. Rok will probably end up with 3ish.All good still? ",Medicine
Deception," With two successful cunning rolls you find a cave opening that comes to end about 8 metres deep. It shows no signs of habitation, and is defensible from one direction.There is dry firewood nearby, and you have protection from any strong winds. ",Cunning
Survival," For this Fellowship Phase and have 11XP and Ceal has 3XP. Keep in mind that you may raise Valour or Wisdom but not both in a single FP.   You have time for one undertaking so long as it can be done locally ie. In the vicinity of Dale or Erebor.  In addition to the usual undertakings, location Specific FP options include:  Pay Homage to the Ravens of Raven Hill (Erebor 25) Open to Dwarves and Bardings Summon a Raven for next Adventure phase Geli did this one  Search the Deep Tunnels (Erebor 26) Roll on a table for result  Join the King’s Hunt (Erebor 51) Additional Feat die to Travel Rolls in the Dalelands and Upper Marshes  Offer Counsel at the Royal Court (Erebor 51-52) Barding with 3 Wisdom; other cultures with 4 Wisdom Courtesy favoured for one year and Standing in Dale increased by one  Stay at the Missing Scale (Erebor 52) Gain Folk-lore specialty for next adventuring phase  Take Apprenticeship with a Dwarven Smith (Erebor 52)  Go to the Market (same at the Lake Town undertaking but takes place in Dale) (Lake Town 12) Spend 2 Treasure to gain a +1 bonus  Gather Herbs (Lake Town 12)  ",Travel
Perception," Shortly after the arrival of the menacing man, another group enters The Boatman - two young nobles and their entourage of four tall and heavily-muscled bodyguards. The two nobles are dressed in garishly impractical finery, fingers dripping with rings, their cheeks rouged, and their wigs powdered. Both exude an enormous sense of entitlement and overconfidence.""I saaay, chaps! What a quaint establishment!"" they giggle to each other in high-pitched, aristocratic tones. One of them swaggers over to the bar and says, ""Two of your finest beverages, landlord!"". Clearly, they are both already drunk and giggle like children at the comments they pass back and forth between themselves about the inn and its patrons. They are obnoxious and insulting about everyone, referring to them as ""filthy commoners"" and ""smelly oicks"". From their banter, one seems to be called Jacob and the other Georg.Their four bodyguards simply watch on impassively, alert for any trouble that might arise from their wards' behaviour.Please can everyone make a Wisdom task roll as a perception check ... and Grubreg - remember you still have a -2 penalty to your roll targets because of your cold-induced malaise. ",Perception
Perception, everyone please make a perception roll... you have an itch feeling on the back of your neck like someone is watching... ,Perception
Perception," For a moment you almost think you feel hard, cold scales brush your fingertips in the void of the lake. Then the water calms.""The path behind me."" Imbrohim whispers hoarsely. ""It has broken off the wall. We can't go back.""It is entirely black. The stone wall lies to your right hand side when you face forward. The ledge continues on. Could the player walking at the front please make a Vigilant check to find their way out from the lakeside. ""Foolish boy. Foolish brat."" A deep sorrow underlies friar's scorn. ",Vigilant
Perception, OCC: please if everyone could make an awareness roll.  target is rather high: 18 ,Awareness
Survival,"  discovered the small stream that feeds into the bandit camp on his travel roll.  And he has caught a rabbit for the pot.He proposes that they stir the mud  from the stream bed and float the ripped up rabbit skin down into the water. Normally somebody can be sent to investigate, and they can be ambushed. By breaking the sides of the banks a little the patrol can be fooled into thinking it is a landslip, and needs repairing: then they can be ambushed.  Perhaps the stream can be dammed and lead to a bigger group being sent away from the camp, lessening the odds.Any way, it will unsettle the camp, and cause a distraction.What do we think? (Craft rolls or athletics to achieve this?) ",Travel
Perception," The guards do wave and ask you to stop. One stands on the side of the gate and seems like he might be falling asleep while leaning on his glave. The other walks up as Match slows the wagon to a stop. ""Where are ya headed this time of the evening?""Match smiles down to him. ""We are going to Brighton to entertain at a party."" His eyes narrow just a hint as he looks over everyone in the wagon. When his eyes land on Bree they open a little again and he nods to Match. ""Alright then. Enjoy yourselves and be careful. The road is unsafe.""He waves to one of the guards on top of the wall who ducks into a small space. A moment later the gate is opened and you are waved through.((OOC: I would like perception checks from everyone.)) ",Perception
Arcana," Rok disappears down the tunnel in search of a way out. He's out of initiative for a few turns.I recommend you guys respond to each others suggestions or ideas at some point. Abi wondered about smashing the magic mirror, but from a safe distance. You'll have to decide between the bathroom wall via 's spell or the tunnel if that pans out. Rok is exploring it now. Cade wants to get thee whole group moving down the tunnel, now. But in more distracting news, looks into the last room that no one cared about. It's like a treasure vault! Probably not everything Ailaram had is in here, but this private stash has a lot.There's lots of coins, bags, and enough actual junk it's hard to tell what's valuable or magical in here.If you go in the treasure room you can make an Investigate check to start estimating and identifying coinage and other valuables, or Arcana check to see if you think something is magical. Or whatever else you want to do. spends the turn getting her golem leg tied up over her shoulder securely, you could ask her to take a look at whatever now though. is still in that room, and should probably be left alone. , Rok (exploring), Gira, Cade, Abi, | ,  ",Arcana
Investigation," Rok disappears down the tunnel in search of a way out. He's out of initiative for a few turns.I recommend you guys respond to each others suggestions or ideas at some point. Abi wondered about smashing the magic mirror, but from a safe distance. You'll have to decide between the bathroom wall via 's spell or the tunnel if that pans out. Rok is exploring it now. Cade wants to get thee whole group moving down the tunnel, now. But in more distracting news, looks into the last room that no one cared about. It's like a treasure vault! Probably not everything Ailaram had is in here, but this private stash has a lot.There's lots of coins, bags, and enough actual junk it's hard to tell what's valuable or magical in here.If you go in the treasure room you can make an Investigate check to start estimating and identifying coinage and other valuables, or Arcana check to see if you think something is magical. Or whatever else you want to do. spends the turn getting her golem leg tied up over her shoulder securely, you could ask her to take a look at whatever now though. is still in that room, and should probably be left alone. , Rok (exploring), Gira, Cade, Abi, | ,  ",Investigate
Deception," ""Well, looks like the shit thickens.""He pauses for dramatic effect. ""I'm going to guess nobody recognizes her, by any chance?""Cunning checks the body for any identifying marks to describe her later to residents in Shit Town. ",Cunning
Stealth," OOC:I'm going to play with time just a little here to reorder the posts. We're going to put Jal-bek's actions after my description of what was in the wagon and before Bree commenting on the false bottom. That would have been the time that Match was away from camp foraging and Bree was looking over the wagon lining up with what he wanted to try to acomplish.In my mind, and on the map, the campfire is right next to the wagon, so you wouldn't be THAT far away from Bree while she's puzzling this out. Your stealth roll is lower than her passive perception, but because of her investigation of the wagon I'm going to ask Bree to roll perception to see if she notices Jal opening the smaller bag.Bree, please make your roll. Feel free to edit this post to include the roll:“Look here” Bree says as she pokes at the hole in the board. Bree sticks her finger in the hole and try’s to pick the board up.  ",Stealth
Perception," She has run over to Marcus and is excitedly talking to at him, gesturing towards the tired and bewildered Gemini. [Make a perception check] ",Perception
History," because of his Trading specialist, and his family connections across the region, would ask for a bonus travel dice instead of a lore roll for Zaken. ",Lore
Athletics," Upon throwing her, the creature loses its grip!Ooc: Athletics roll @Hard or take full damage. ",Athletics
History," The journey North to Beorn is around sixty miles, along open terrain in Free lands. On foot, this should take around three days; Lore Rolls can reduce to two days.  Forced March rules can make it one long day.  Only a single Fatigue check is needed for this leg of the journey (TN 12) at normal pace, fatigue check plus Athletics for forced march.  The villagers offer mounts that will make this easier. Please confirm:Jot and the hobbits to Woodman town.  Jot hopes to return with support from them. and  stay here to help town prepare.Who takes and the message north to Beorn to get support? ",Lore
Perception," Alice and descend the stairs quietly. They rejoin Sebastian and make for the back door. The alley behind the coffin shop is dark and narrow. The other buildings backing up to it are secure and dark. St Andrals is perhaps 100 yards to the east.((There isn't any difficulty in crossing between buildings to the street if you prefer. It just adds another 60' to your journey. Tell me how you're going (fast slow sneaky swaggering... Etc), and make perception checks.)) ",Perception
Perception,"  's left hand slowly descends down his left side until his palm firmly rests on the pommel of a sword, the blade of which has been broken off to a much shorter length; knics decorate the edge of the blade.In a hushed manor: ""I agree with you Calto, hungry dogs often run in packs; however, if they had the advantage why waste it on talking? My guess is if their are others then they do not outnumber us in total."" 's eyes carefully dart along the surrounding area, scanning for other combatants. (perception check?) ""If no one else is among them, then we could stain the road red with their blood. However our dear senator might wish to take the time to sit with them and discuss philosophy.""   ",Perception
Investigation," So our order of actions will go: Viribus BanditsLuciusOn your turn, you can do one action. This might include moving, attacking (move and attack if it’s within a reasonable enough distance), ready a weapon or something, use morale to inspire, persuade/intimidate, use ingenuity to gain an advantage, etcFor (trying to ascertain info about their faction, and also if there are more men in the woods) and (scanning for more men), you will be making Investigation rolls. If you have Investigation, you start with three dice (every trained skill starts at three). You can modify this roll as follows:For every point you have in Mind (the associated attribute) you canBefore you roll: Add a die to the rollAfter you roll:Add a pip to a die (change a 4 to a 5)Reroll any number of dice and keep the new result5s and 6s are successes. You need 3 successes to scout the surrounding area. , a 4th success will give you some insight on the armor. If you DO NOT have Investigation, you may use a Mind point to temp gain the skill for this one use. It comes with NO dice...so you’d have to use additional points to add dice (i.e. - I have a Mind of 4, I use one point to temp gain investigate, and three points to add three dice - 1 point/die) and make your checks and then we’ll proceed with initiative order!You can make your rolls in the comments section under your intended action above. Simply type 3d6, or 4d6...and then you can add a comment about how you intend to modify them. And that’s how the mechanics will work in this platform!  ",Investigation
Perception," Luckily, Typhoon and Pious found a path through the larger rocks that allowed them to move at a quick speed. They were able to cover a bit more ground than the Hub as the rig moved forward. As you crest the Pawn, you see a large fissure that has opened up in the ground, and leading to a large cavern below. It looks like a pretty sizable drop, too. Not something a vehicle could get down in safely.Typhoon and Pious, please each make a Notice roll, difficulty +6From on-board the Hub, the three of you see something different, coming from a ways off towards your position. The large-wheeled, driller of NDevor company. ",Notice
Deception," You feel more than hear a buzzing that seems to emanate from the locked chest.  The blade and the scabbard seem to be whispering or calling to each other.  Everyone please make Corruption rolls.    When characters are confronted by the temptations of the Shadow, like the thirst for power or gold, they will have to put their Wisdom to the test to avoid becoming corrupt (Corruption tests). If they are set against a menace capable of inspiring blind fear, they will have to prove their Valour (Fear tests).",Corruption
Deception, ((what do you roll for corruption checks?)) ,Corruption
Perception," Ceallaigh's arrow flies true striking the stag in the chest. The creature leaps, takes two steps and falls to the ground dead.I'll be whistles Alfrim. I never saw anything like that. Congratulations! And Mr. brought down a fine looking doe. Congratulating themselves, the men drew their knives and began cleaning the deer for the journey back to the camp. May I have an Awareness check TN 14 from and Ceal? ",Awareness
Investigation," Gira's exhaustion is finally done if it wasn't already.The scouting party awakes the next day at the edge of the forest. As you make your way into it and try to stay within travel back to the angel's tower, you do find some strange clues. You cross the path of some tracks, belonging to some kind of upright canine-like humanoid.Who are we kidding, it's gnolls! You found gnoll tracks.You can all make a nature or survival or investigate check, but tell me if it's to learn more about the gnolls or observe for other clues. If you want to actually follow the tracks, that's definitely a survival, and would likely mean you are out another day. ",Investigate
Perception," After the lot of you adventurers have defeated the carcass crab, make a DC 15 Spot check. Success means that...you notice a single carrion bird circling on the horizon behind you all. The very same that had been following from the Jade Quarry and from the vampire that had appeared not long before. The Vulture seems to be coming closer and closer still, but still too far out of reach.“How?” Lorraine questions in response to Alidaar, “Well the transference of a soul into a khyber dragonshard is the most common (I dare say barbaric) way of doing it. Some can infuse the essence of a living creature as part of the crafting process, weaving it into materials to give it life. The skill needed for this requires a level of skill I haven’t seen before! Fascinating…” Lorraine explains before looking over the blade in closer detail suddenly unaware of the battlefield surrounding her.As everyone gets a chance to head back and work with Lorraine, you noticed that she has in fact been very busy,  having taken the parts from an assortment of the collected light-crossbows in order to construct what looks like a small walking light crossbow. The item is in fact an arbalester, a form of artificer construct companion. It moves over to Lorraine from the back of the wagon as if equally fascinated by the blade Lorraine was excited about. ",Spot
Perception," The worst of the journey seems to have been put behind you. As you all gather what remains of the belongings you look to the path ahead. You divide up what you see needs to go to who from the treasure you found (Make sure to discuss who is getting what. I know  wishes to get the Cloak of Resistance if no-one else has any interest in it!) and begin to make your journey to the Mouth of the Whitehearth Mine.The journey alone will be a short one, and having still the remainder of the day left you can rest assured you have made great strides to get ahead of the both the Blood of Vol and the Emerald Claw, let alone any other forces that may have attempted to take pursuit.You all are made aware of your pursuer, as the same bird had been following you since the Jade Quarry. The Bird's intentions are still not yet known, but for the bird to follow for so long without taking a rest hints at an unnatural origin.Meanwhile you all turn your attention to the path ahead:Light: Having arrived at what would normally be just before dusk, the Mournland is bathed in the darkness of a cloud-covered night (total cover for mundane and low-light senses). You all will need to determine how to provide light to those who don't have darkvision!Sound: The area around the mineshaft is deathly quiet. A successful DC 20 Listen check allows...a PC to hear the occasional rustle of the nearby vulture zombie’s skeletal wings.At the base of a low hill, a timbered opening leads into a dark tunnel. At first glance, it looks like any other abandoned mineshaft. Then, with a more careful inspection of the opening, you spot the House Cannith seal emblazoned on the center crossbeam. Lorraine is able to verify that there are no traps or alarms are present at the entrance, with the tunnel stretching into a deeper darkness ahead (total cover for mundane and low-light senses; Get ready for a Dungeon Crawl! SET UP YOUR MARCHING ORDER and decide on how you want to handle the approaching bird!). ",Listen
Survival, <<closing scene:  back through Stoneyford (no travel roll required: I think you guys know the route by now)>> ,Travel
Survival, occ: both please make awareness stealth and hunting checks.  ,Hunting
History," We now begin a Fellowship Phase in Rivendell.  Each of you will receive 10XP, and, may now spend Experience and Advancement Points.  This will be a Year's End Fellowship Phase, so two Undertakings are permitted.  Also, for and , I think that it would make sense to allow a visit ""home"" during this time (I am not sure exactly where ""home"" is for ), and the other characters can accompany them if they wish (seems a bit crazy to allow the others to go home, when we just spent an entire Adventuring Phase getting away from Gondor and Rohan!)In addition to the usual options, the following Rivendell-specific Undertakings are available (all page references are for Rivendell):- Go see a lore-master (probably not relevant here) - page 21- Researching lore in the house of Elrond (this would work for researching the Blood Stone) - Lore roll - page 22- Write a Song - page 22 can also do:- Find Athelas - Explore roll (TN18) - page 55- Honouring the Fallen (recover 1 Hope) - page 40- Return to Amon Dûn (Heal Corruption using Travel) - page 60- Watch upon Amon Sûl (Fatigue reduction during next Adventure Phase) - page 57- Guard Bree and the Shire - page 35 (Bree)Also worth noting:- Any companions spending a Fellowship phase in Rivendell may choose the Heal Corruption undertaking and make up to two rolls using Craft or Song.Anyone who travels to Bree can do:- Write a Letter - page 36 (Bree)- Chance-meeting in the Inn - page 37 (Bree)- Learn the Paths of the Chetwood - page 37 (Bree)- Guard the East Road - page 9 (Bree)And as for Hope replenishment, I don't think any Fellowship Points were used during the last Adventuring Phase, so there are 5 points to distribute.Wow, that was a lot of stuff!  I am sure I have forgotten multiple things, so feel free to point them out.  :) ",Lore
Survival," We now begin a Fellowship Phase in Rivendell.  Each of you will receive 10XP, and, may now spend Experience and Advancement Points.  This will be a Year's End Fellowship Phase, so two Undertakings are permitted.  Also, for and , I think that it would make sense to allow a visit ""home"" during this time (I am not sure exactly where ""home"" is for ), and the other characters can accompany them if they wish (seems a bit crazy to allow the others to go home, when we just spent an entire Adventuring Phase getting away from Gondor and Rohan!)In addition to the usual options, the following Rivendell-specific Undertakings are available (all page references are for Rivendell):- Go see a lore-master (probably not relevant here) - page 21- Researching lore in the house of Elrond (this would work for researching the Blood Stone) - Lore roll - page 22- Write a Song - page 22 can also do:- Find Athelas - Explore roll (TN18) - page 55- Honouring the Fallen (recover 1 Hope) - page 40- Return to Amon Dûn (Heal Corruption using Travel) - page 60- Watch upon Amon Sûl (Fatigue reduction during next Adventure Phase) - page 57- Guard Bree and the Shire - page 35 (Bree)Also worth noting:- Any companions spending a Fellowship phase in Rivendell may choose the Heal Corruption undertaking and make up to two rolls using Craft or Song.Anyone who travels to Bree can do:- Write a Letter - page 36 (Bree)- Chance-meeting in the Inn - page 37 (Bree)- Learn the Paths of the Chetwood - page 37 (Bree)- Guard the East Road - page 9 (Bree)And as for Hope replenishment, I don't think any Fellowship Points were used during the last Adventuring Phase, so there are 5 points to distribute.Wow, that was a lot of stuff!  I am sure I have forgotten multiple things, so feel free to point them out.  :) ",Explore
